indicator,commodity,casm_code,casm_world_code,region,boundary,direct_or_lifecycle,includes_feed,includes_land_use_change,includes_processing,includes_transport,source_year,source_reference,imputed_flag,imputation_rule,can_sum_with_other_commodity_coefficients,recommended_account,double_counting_risk,audit_note
nitrogen,All cropland (N surplus),,,CHN,supply-chain or virtual nitrogen factor,review,no,no,no,no,2020,Einarsson/Ludemann et al. 2024 ESSD,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,All cropland (N surplus),,,WLD,supply-chain or virtual nitrogen factor,review,no,no,no,no,2020,Einarsson/Ludemann et al. 2024 ESSD,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Dairy cattle,MILK,,Asia,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Dairy cattle,MILK,,N.America,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Dairy cattle,MILK,,W.Europe,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Other cattle,CATM,,Asia,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Other cattle,CATM,,N.America,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Other cattle,CATM,,W.Europe,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Swine (total),PIGM,,Asia,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Swine (total),PIGM,,N.America,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Swine (total),PIGM,,W.Europe,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Chicken (total),CHKM,,Asia,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Hens >=1yr (layers),EGGS,,Asia,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Chicken (total),CHKM,,N.America,supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Sheep,SHGM,,rest-of-world (incl. Asia),supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Goats,SHGM,,rest-of-world (incl. Asia),supply-chain or virtual nitrogen factor,review,no,no,no,no,2019,IPCC 2019 Refinement Vol4 Ch10 Table 10.19,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Poultry,CHKM,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Pork (pigmeat),PIGM,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Beef,CATM,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Fish & seafood,FISH,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Milk (dairy),MILK,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Vegetables,VEGT,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Starchy roots,POTA,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Legumes/pulses,SOYS,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Grains (cereals),WHEA,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Eggs,EGGS,,US/industrial,supply-chain or virtual nitrogen factor,review,no,no,no,no,2012,Leach et al. 2012 Environmental Development Table 2,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Beef (feed N),CATM,,Global,supply-chain or virtual nitrogen factor,review,yes,no,no,no,2020,Uwizeye et al. 2020 Nature Food,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Chicken meat (feed N),CHKM,,Global,supply-chain or virtual nitrogen factor,review,yes,no,no,no,2020,Uwizeye et al. 2020 Nature Food,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Milk (feed N),MILK,,Global,supply-chain or virtual nitrogen factor,review,yes,no,no,no,2020,Uwizeye et al. 2020 Nature Food,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Pork (feed N),PIGM,,Global,supply-chain or virtual nitrogen factor,review,yes,no,no,no,2020,Uwizeye et al. 2020 Nature Food,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
nitrogen,Eggs (feed N),EGGS,,Global,supply-chain or virtual nitrogen factor,review,yes,no,no,no,2020,Uwizeye et al. 2020 Nature Food,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
land,Rice,RICE,RIC,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,yes,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID land-use-per-kg-poore),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Wheat & Rye,WHEA,WHE,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Maize (corn),MAIZ,CRN,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Potatoes,POTA,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Soybean (as tofu),SOYS,SBS,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),yes,Tofu proxy; soy milk 0.66 m2/kg,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Soybean oil,SOYO,SBO,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
land,Rapeseed,RAPS,RBS,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
land,Rapeseed oil,RAPO,RBO,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,yes,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID land-use-kcal-poore),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Groundnuts (peanuts),GRDS,NBS,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Cane Sugar,SUGC,SCA,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Beet Sugar,SUGB,SBE,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Sugar (cane avg proxy),SUGA,SUG,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Fruit (apples),FRTO,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Fruit (aggregate avg),FRTO,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Vegetables (tomatoes),VEGT,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Vegetables (aggregate avg),VEGT,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Pig Meat,PIGM,PRK,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Beef (beef herd),CATM,BFV,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Beef (dairy herd),CATM,BFV,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Lamb & Mutton,SHGM,SGT,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Poultry Meat,CHKM,PLM,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Eggs,EGGS,EGG,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Milk,MILK,MLK,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Fish (farmed),FISH,FSH,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
land,Barley,BARL,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Sorghum,SORG,,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
land,Other cereals (barley proxy),OTGR,OCG,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),yes,Barley used as other-grain proxy,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
land,Butter,,BUT,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
land,Cheese,,CHE,WLD,lifecycle land occupation equivalent: arable plus pasture,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
